"ID","NAME","STATUS","PREFIXES AS URL","PREFIXES AS LRU","HOME PAGE","START PAGES","CRAWLED","CRAWLING STATUS","INDEXING STATUS","INDEGREE","OUTDEGREE","NEIGHBOORS COUNT","TOTAL KNOWN PAGES","CRAWLED PAGES","CREATION TIMESTAMP","CREATION DATE","LAST MODIFICATION TIMESTAMP","LAST MODIFICATION DATE","Recherche (TAGS)","FREETAGS (TAGS)","Médias (TAGS)","createdBy (TECHNICAL INFO)"
"3","Wikipedia.org","IN","http://fr.wikipedia.org/wiki/Outarde_canepeti%C3%A8re http://www.fr.wikipedia.org/wiki/Outarde_canepeti%C3%A8re https://fr.wikipedia.org/wiki/Outarde_canepeti%C3%A8re https://www.fr.wikipedia.org/wiki/Outarde_canepeti%C3%A8re","s:https|h:org|h:wikipedia|h:fr|h:www|p:wiki|p:Outarde_canepeti%C3%A8re| s:https|h:org|h:wikipedia|h:fr|p:wiki|p:Outarde_canepeti%C3%A8re| s:http|h:org|h:wikipedia|h:fr|h:www|p:wiki|p:Outarde_canepeti%C3%A8re| s:http|h:org|h:wikipedia|h:fr|p:wiki|p:Outarde_canepeti%C3%A8re|","https://fr.wikipedia.org/wiki/Outarde_canepeti%C3%A8re","https://fr.wikipedia.org/wiki/Outarde_canepeti%C3%A8re","true","FINISHED","FINISHED","0","29","29","3","3","1694785237680","2023-09-15T13:40:37.680Z","1695371930438","2023-09-22T08:38:50.438Z","Description naturaliste","","","user via lru"
"27","Lpo.fr","IN","http://lpo.fr http://www.lpo.fr https://lpo.fr https://www.lpo.fr","s:https|h:fr|h:lpo| s:https|h:fr|h:lpo|h:www| s:http|h:fr|h:lpo| s:http|h:fr|h:lpo|h:www|","https://www.lpo.fr/la-lpo-en-actions/conservation-d-especes-menacees/plans-nationaux-d-actions/pna-en-faveur-de-l-outarde-canepetiere","https://www.lpo.fr https://www.lpo.fr/la-lpo-en-actions/conservation-d-especes-menacees/plans-nationaux-d-actions/pna-en-faveur-de-l-outarde-canepetiere","true","FINISHED","FINISHED","3","236","239","236","233","1694785247795","2023-09-15T13:40:47.795Z","1695371801548","2023-09-22T08:36:41.548Z","","Association de protection des oiseaux, historiquement très impliquée dans la conservation de l'outarde. Animatrice du plan national d'actions sur les outardes","",""
"32","Outardecanepetiere.fr","IN","http://outardecanepetiere.fr http://www.outardecanepetiere.fr https://outardecanepetiere.fr https://www.outardecanepetiere.fr","s:https|h:fr|h:outardecanepetiere| s:https|h:fr|h:outardecanepetiere|h:www| s:http|h:fr|h:outardecanepetiere| s:http|h:fr|h:outardecanepetiere|h:www|","https://outardecanepetiere.fr","https://outardecanepetiere.fr https://outardecanepetiere.fr/le-plan-national-d-actions/","true","FINISHED","FINISHED","1","43","44","32","32","1694785512727","2023-09-15T13:45:12.727Z","1694786086297","2023-09-15T13:54:46.297Z","","","",""
"200","Oiseaux.net","IN","http://oiseaux.net/oiseaux/outarde.canepetiere.html http://www.oiseaux.net/oiseaux/outarde.canepetiere.html https://oiseaux.net/oiseaux/outarde.canepetiere.html https://www.oiseaux.net/oiseaux/outarde.canepetiere.html","s:https|h:net|h:oiseaux|h:www|p:oiseaux|p:outarde.canepetiere.html| s:https|h:net|h:oiseaux|p:oiseaux|p:outarde.canepetiere.html| s:http|h:net|h:oiseaux|h:www|p:oiseaux|p:outarde.canepetiere.html| s:http|h:net|h:oiseaux|p:oiseaux|p:outarde.canepetiere.html|","https://www.oiseaux.net/oiseaux/outarde.canepetiere.html","https://www.oiseaux.net/oiseaux/outarde.canepetiere.html","true","FINISHED","FINISHED","1","9","10","4","4","1694785638630","2023-09-15T13:47:18.630Z","1695371847844","2023-09-22T08:37:27.844Z","Description naturaliste","","","user via lru"
"261","Mnhn.fr","IN","http://inpn.mnhn.fr/espece/cd_nom/3089 http://www.inpn.mnhn.fr/espece/cd_nom/3089 https://inpn.mnhn.fr/espece/cd_nom/3089 https://www.inpn.mnhn.fr/espece/cd_nom/3089","s:https|h:fr|h:mnhn|h:inpn|h:www|p:espece|p:cd_nom|p:3089| s:https|h:fr|h:mnhn|h:inpn|p:espece|p:cd_nom|p:3089| s:http|h:fr|h:mnhn|h:inpn|h:www|p:espece|p:cd_nom|p:3089| s:http|h:fr|h:mnhn|h:inpn|p:espece|p:cd_nom|p:3089|","https://inpn.mnhn.fr/espece/cd_nom/3089","https://inpn.mnhn.fr/espece/cd_nom/3089 https://inpn.mnhn.fr/espece/cd_nom/3089/tab/fiche https://inpn.mnhn.fr/espece/cd_nom/3089/tab/sources https://inpn.mnhn.fr/espece/cd_nom/3089/tab/statut https://inpn.mnhn.fr/espece/cd_nom/3089/tab/valorisation https://inpn.mnhn.fr/espece/cd_nom/3089?lg=en","true","FINISHED","FINISHED","1","6","7","22","22","1694785782340","2023-09-15T13:49:42.340Z","1695371909524","2023-09-22T08:38:29.524Z","Description naturaliste","","","user via lru"
"308","Emberiza-Ecologie.fr","IN","http://emberiza-ecologie.fr/especes/loutarde-canepetiere http://www.emberiza-ecologie.fr/especes/loutarde-canepetiere https://emberiza-ecologie.fr/especes/loutarde-canepetiere https://www.emberiza-ecologie.fr/especes/loutarde-canepetiere","s:https|h:fr|h:emberiza-ecologie|h:www|p:especes|p:loutarde-canepetiere| s:https|h:fr|h:emberiza-ecologie|p:especes|p:loutarde-canepetiere| s:http|h:fr|h:emberiza-ecologie|h:www|p:especes|p:loutarde-canepetiere| s:http|h:fr|h:emberiza-ecologie|p:especes|p:loutarde-canepetiere|","https://www.emberiza-ecologie.fr/especes/loutarde-canepetiere","https://www.emberiza-ecologie.fr/especes/loutarde-canepetiere/","true","FINISHED","FINISHED","0","15","15","5","5","1694786161164","2023-09-15T13:56:01.164Z","1694875042103","2023-09-16T14:37:22.103Z","Bureau d'études","","","user via lru"
"325","Instinct-Animal.fr","IN","http://instinct-animal.fr/oiseaux/outarde-canepetiere http://www.instinct-animal.fr/oiseaux/outarde-canepetiere https://instinct-animal.fr/oiseaux/outarde-canepetiere https://www.instinct-animal.fr/oiseaux/outarde-canepetiere","s:https|h:fr|h:instinct-animal|h:www|p:oiseaux|p:outarde-canepetiere| s:https|h:fr|h:instinct-animal|p:oiseaux|p:outarde-canepetiere| s:http|h:fr|h:instinct-animal|h:www|p:oiseaux|p:outarde-canepetiere| s:http|h:fr|h:instinct-animal|p:oiseaux|p:outarde-canepetiere|","https://www.instinct-animal.fr/oiseaux/outarde-canepetiere/","https://www.instinct-animal.fr/oiseaux/outarde-canepetiere https://www.instinct-animal.fr/oiseaux/outarde-canepetiere/","true","FINISHED","FINISHED","0","5","5","5","5","1694786468597","2023-09-15T14:01:08.597Z","1695371885877","2023-09-22T08:38:05.877Z","Description naturaliste","","","user via lru"
"329","Francetvinfo.fr","IN","http://france3-regions.francetvinfo.fr/centre-val-de-loire/indre-loire/loches/environnement-le-retour-des-outardes-canepetieres-grace-aux-jacheres-2514616.html http://www.france3-regions.francetvinfo.fr/centre-val-de-loire/indre-loire/loches/environnement-le-retour-des-outardes-canepetieres-grace-aux-jacheres-2514616.html https://france3-regions.francetvinfo.fr/centre-val-de-loire/indre-loire/loches/environnement-le-retour-des-outardes-canepetieres-grace-aux-jacheres-2514616.html https://www.france3-regions.francetvinfo.fr/centre-val-de-loire/indre-loire/loches/environnement-le-retour-des-outardes-canepetieres-grace-aux-jacheres-2514616.html","s:https|h:fr|h:francetvinfo|h:france3-regions|h:www|p:centre-val-de-loire|p:indre-loire|p:loches|p:environnement-le-retour-des-outardes-canepetieres-grace-aux-jacheres-2514616.html| s:https|h:fr|h:francetvinfo|h:france3-regions|p:centre-val-de-loire|p:indre-loire|p:loches|p:environnement-le-retour-des-outardes-canepetieres-grace-aux-jacheres-2514616.html| s:http|h:fr|h:francetvinfo|h:france3-regions|h:www|p:centre-val-de-loire|p:indre-loire|p:loches|p:environnement-le-retour-des-outardes-canepetieres-grace-aux-jacheres-2514616.html| s:http|h:fr|h:francetvinfo|h:france3-regions|p:centre-val-de-loire|p:indre-loire|p:loches|p:environnement-le-retour-des-outardes-canepetieres-grace-aux-jacheres-2514616.html|","http://france3-regions.francetvinfo.fr/centre-val-de-loire/indre-loire/loches/environnement-le-retour-des-outardes-canepetieres-grace-aux-jacheres-2514616.html","https://france3-regions.francetvinfo.fr/centre-val-de-loire/indre-loire/loches/environnement-le-retour-des-outardes-canepetieres-grace-aux-jacheres-2514616.html","true","FINISHED","FINISHED","0","16","16","3","3","1694786629730","2023-09-15T14:03:49.730Z","1694874238685","2023-09-16T14:23:58.685Z","","","PQR","user via lru"
"343","Midilibre.fr","IN","http://midilibre.fr/2022/07/10/les-outardes-canepetieres-une-espece-quil-faut-proteger-10426981.php http://www.midilibre.fr/2022/07/10/les-outardes-canepetieres-une-espece-quil-faut-proteger-10426981.php https://midilibre.fr/2022/07/10/les-outardes-canepetieres-une-espece-quil-faut-proteger-10426981.php https://www.midilibre.fr/2022/07/10/les-outardes-canepetieres-une-espece-quil-faut-proteger-10426981.php","s:https|h:fr|h:midilibre|h:www|p:2022|p:07|p:10|p:les-outardes-canepetieres-une-espece-quil-faut-proteger-10426981.php| s:https|h:fr|h:midilibre|p:2022|p:07|p:10|p:les-outardes-canepetieres-une-espece-quil-faut-proteger-10426981.php| s:http|h:fr|h:midilibre|h:www|p:2022|p:07|p:10|p:les-outardes-canepetieres-une-espece-quil-faut-proteger-10426981.php| s:http|h:fr|h:midilibre|p:2022|p:07|p:10|p:les-outardes-canepetieres-une-espece-quil-faut-proteger-10426981.php|","https://www.midilibre.fr/2022/07/10/les-outardes-canepetieres-une-espece-quil-faut-proteger-10426981.php","https://www.midilibre.fr/2022/07/10/les-outardes-canepetieres-une-espece-quil-faut-proteger-10426981.php","true","FINISHED","FINISHED","0","17","17","4","4","1694787756546","2023-09-15T14:22:36.546Z","1694874157405","2023-09-16T14:22:37.405Z","","","PQR","user via lru"
"360","Youtube.com","IN","http://www.youtube.com/watch?v=fODoOjiA3nc http://youtube.com/watch?v=fODoOjiA3nc https://www.youtube.com/watch?v=fODoOjiA3nc https://youtube.com/watch?v=fODoOjiA3nc","s:https|h:com|h:youtube|h:www|p:watch|q:v=fODoOjiA3nc| s:https|h:com|h:youtube|p:watch|q:v=fODoOjiA3nc| s:http|h:com|h:youtube|h:www|p:watch|q:v=fODoOjiA3nc| s:http|h:com|h:youtube|p:watch|q:v=fODoOjiA3nc|","https://www.youtube.com/watch?v=fODoOjiA3nc","https://www.youtube.com/watch?v=fODoOjiA3nc","true","FINISHED","FINISHED","0","2","2","4","4","1694787864428","2023-09-15T14:24:24.428Z","1694787864853","2023-09-15T14:24:24.853Z","","","","user via lru"
